"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"84701/1000",NA,84701,1053,"25-29 years","female",20,3640,"Work",90.3303756713867,90.3303756713867,"car",0.166666666666667,4.32,"weekday",2,"20 to 39","3-5km","bicycle",4.32,0.392727272727273,1.16666666666667,2.74909090909091
"84701/1000",NA,84701,1053,"25-29 years","female",20,3641,"Work",90.3303756713867,90.3303756713867,"car",1,33.17,"weekday",3,"20 to 39",">10km","car",33.17,1,7,7
"84701/1001",NA,84701,1054,"30-34 years","male",20,3642,"Other",94.9313201904297,94.9313201904297,"car",0.333333333333333,6.02,"weekday",1,"20 to 39","6-10km","car",6.02,0.333333333333333,2.33333333333333,2.33333333333333
"84701/1001",NA,84701,1054,"30-34 years","male",20,3643,"Other",94.9313201904297,94.9313201904297,"car",0.25,5.96,"weekday",2,"20 to 39","6-10km","car",5.96,0.25,1.75,1.75
"84704/1001",NA,84704,1055,"40-44 years","female",20,3644,"Other",151.688049316406,151.688049316406,"car",0.166666666666667,1.6,"weekday",1,"40 to 64","1-2km","bicycle",1.6,0.145454545454545,1.16666666666667,1.01818181818182
"84704/1001",NA,84704,1055,"40-44 years","female",20,3645,"Other",151.688049316406,151.688049316406,"car",0.0833333333333333,1.6,"weekday",2,"40 to 64","1-2km","bicycle",1.6,0.145454545454545,0.583333333333333,1.01818181818182
"84704/1001",NA,84704,1055,"40-44 years","female",20,3646,"Other",151.688049316406,151.688049316406,"car",0.1,1.6,"weekday",3,"40 to 64","1-2km","bicycle",1.6,0.145454545454545,0.7,1.01818181818182
"84704/1001",NA,84704,1055,"40-44 years","female",20,3647,"Other",151.688049316406,151.688049316406,"car",0.0833333333333333,1.6,"weekday",4,"40 to 64","1-2km","bicycle",1.6,0.145454545454545,0.583333333333333,1.01818181818182
"84706/1000",NA,84706,1056,"35-39 years","female",20,3648,"Work",101.994979858398,101.994979858398,"car",0.5,18.35,"weekday",1,"20 to 39",">10km","car",18.35,0.5,3.5,3.5
"84706/1000",NA,84706,1056,"35-39 years","female",20,3650,"Work",101.994979858398,101.994979858398,"car",0.166666666666667,9.67,"weekday",3,"20 to 39","6-10km","car",9.67,0.166666666666667,1.16666666666667,1.16666666666667
"84706/1000",NA,84706,1056,"35-39 years","female",20,3651,"Work",101.994979858398,101.994979858398,"car",0.333333333333333,15.65,"weekday",4,"20 to 39",">10km","car",15.65,0.333333333333333,2.33333333333333,2.33333333333333
"84706/1000",NA,84706,1056,"35-39 years","female",20,3652,"Work",101.994979858398,101.994979858398,"car",0.25,4.21,"weekday",5,"20 to 39","3-5km","bicycle",4.21,0.382727272727273,1.75,2.67909090909091
"84706/1000",NA,84706,1056,"35-39 years","female",20,3653,"Work",101.994979858398,101.994979858398,"car",0.166666666666667,4.44,"weekday",6,"20 to 39","3-5km","bicycle",4.44,0.403636363636364,1.16666666666667,2.82545454545455
"84706/1000",NA,84706,1056,"35-39 years","female",20,3654,"Work",101.994979858398,101.994979858398,"car",0.0333333333333333,0.4,"weekday",7,"20 to 39","<1km","bicycle",0.4,0.0363636363636364,0.233333333333333,0.254545454545455
"84706/1001",NA,84706,1057,"35-39 years","male",20,3655,"Work",97.0498886108398,97.0498886108398,"car",1.16666666666667,45.93,"weekday",1,"20 to 39",">10km","car",45.93,1.16666666666667,8.16666666666667,8.16666666666667
"84706/1001",NA,84706,1057,"35-39 years","male",20,3656,"Work",97.0498886108398,97.0498886108398,"car",0.666666666666667,46.78,"weekday",2,"20 to 39",">10km","car",46.78,0.666666666666667,4.66666666666667,4.66666666666667
"84706/1002",NA,84706,1058,"15-19 years","male",20,3657,"Work",162.666137695312,162.666137695312,"car",1.16666666666667,45.93,"weekday",1,"15 to 19",">10km","car",45.93,1.16666666666667,8.16666666666667,8.16666666666667
"84706/1002",NA,84706,1058,"15-19 years","male",20,3658,"Work",162.666137695312,162.666137695312,"car",0.666666666666667,46.78,"weekday",2,"15 to 19",">10km","car",46.78,0.666666666666667,4.66666666666667,4.66666666666667
"84706/1003",NA,84706,1059,"20-24 years","female",20,3659,"Work",133.524215698242,133.524215698242,"car",0.166666666666667,5.9,"weekday",1,"20 to 39","6-10km","car",5.9,0.166666666666667,1.16666666666667,1.16666666666667
"84706/1003",NA,84706,1059,"20-24 years","female",20,3660,"Work",133.524215698242,133.524215698242,"car",0.166666666666667,6.06,"weekday",2,"20 to 39","6-10km","car",6.06,0.166666666666667,1.16666666666667,1.16666666666667
"84708/1000",NA,84708,1060,"25-29 years","female",20,3661,"Work",90.3303756713867,90.3303756713867,"car",0.5,14.18,"weekday",1,"20 to 39",">10km","car",14.18,0.5,3.5,3.5
"84708/1000",NA,84708,1060,"25-29 years","female",20,3662,"Work",90.3303756713867,90.3303756713867,"car",0.5,14.19,"weekday",2,"20 to 39",">10km","car",14.19,0.5,3.5,3.5
"84708/1001",NA,84708,1061,"25-29 years","male",20,3663,"Work",80.8674468994141,80.8674468994141,"car",0.5,14.18,"weekday",1,"20 to 39",">10km","car",14.18,0.5,3.5,3.5
"84708/1001",NA,84708,1061,"25-29 years","male",20,3664,"Work",80.8674468994141,80.8674468994141,"car",0.5,14.19,"weekday",2,"20 to 39",">10km","car",14.19,0.5,3.5,3.5
"84710/1000",NA,84710,1062,"45-49 years","female",20,3665,"Work",163.545227050781,163.545227050781,"car",0.333333333333333,5.79,"weekday",1,"40 to 64","6-10km","car",5.79,0.333333333333333,2.33333333333333,2.33333333333333
"84710/1000",NA,84710,1062,"45-49 years","female",20,3666,"Other",163.545227050781,163.545227050781,"car",0.333333333333333,7.72,"weekday",2,"40 to 64","6-10km","car",7.72,0.333333333333333,2.33333333333333,2.33333333333333
"84710/1000",NA,84710,1062,"45-49 years","female",20,3667,"Other",163.545227050781,163.545227050781,"car",0.166666666666667,2.33,"weekday",3,"40 to 64","3-5km","bicycle",2.33,0.211818181818182,1.16666666666667,1.48272727272727
"84710/1001",NA,84710,1063,"35-39 years","male",20,3668,"Other",129.938522338867,129.938522338867,"car",0.166666666666667,2.52,"weekday",1,"20 to 39","3-5km","bicycle",2.52,0.229090909090909,1.16666666666667,1.60363636363636
"84710/1001",NA,84710,1063,"35-39 years","male",20,3669,"Work",129.938522338867,129.938522338867,"car",0.666666666666667,27.8,"weekday",2,"20 to 39",">10km","car",27.8,0.666666666666667,4.66666666666667,4.66666666666667
"84710/1001",NA,84710,1063,"35-39 years","male",20,3670,"Work",129.938522338867,129.938522338867,"car",0.75,28.8,"weekday",3,"20 to 39",">10km","car",28.8,0.75,5.25,5.25
"84717/1000",NA,84717,1064,"65-69 years","female",20,3671,"Other",86.0002593994141,86.0002593994141,"car",1,27.65,"weekday",1,"65 plus",">10km","car",27.65,1,7,7
"84717/1000",NA,84717,1064,"65-69 years","female",20,3672,"Other",86.0002593994141,86.0002593994141,"car",1,27.35,"weekday",2,"65 plus",">10km","car",27.35,1,7,7
"84717/1000",NA,84717,1064,"65-69 years","female",20,3673,"Shopping",86.0002593994141,86.0002593994141,"car",0.25,3.17,"weekday",3,"65 plus","3-5km","bicycle",3.17,0.288181818181818,1.75,2.01727272727273
"84717/1000",NA,84717,1064,"65-69 years","female",20,3674,"Shopping",86.0002593994141,86.0002593994141,"car",0.166666666666667,3.13,"weekday",4,"65 plus","3-5km","bicycle",3.13,0.284545454545455,1.16666666666667,1.99181818181818
"84717/1000",NA,84717,1064,"65-69 years","female",20,3675,"Other",86.0002593994141,86.0002593994141,"walking",0.133333333333333,0.5,"weekday",5,"65 plus","<1km","walking",0.5,0.133333333333333,0.933333333333333,0.933333333333333
"84717/1000",NA,84717,1064,"65-69 years","female",20,3676,"Other",86.0002593994141,86.0002593994141,"walking",0.133333333333333,0.5,"weekday",6,"65 plus","<1km","walking",0.5,0.133333333333333,0.933333333333333,0.933333333333333
"84719/1000",NA,84719,1065,"40-44 years","female",20,3677,"Other",113.294410705566,113.294410705566,"car",0.05,0.61,"weekday",1,"40 to 64","<1km","bicycle",0.61,0.0554545454545455,0.35,0.388181818181818
"84719/1000",NA,84719,1065,"40-44 years","female",20,3678,"Other",113.294410705566,113.294410705566,"car",0.05,0.61,"weekday",2,"40 to 64","<1km","bicycle",0.61,0.0554545454545455,0.35,0.388181818181818
"84719/1000",NA,84719,1065,"40-44 years","female",20,3679,"Other",113.294410705566,113.294410705566,"car",0.05,0.61,"weekday",3,"40 to 64","<1km","bicycle",0.61,0.0554545454545455,0.35,0.388181818181818
"84719/1000",NA,84719,1065,"40-44 years","female",20,3680,"Other",113.294410705566,113.294410705566,"car",0.05,0.61,"weekday",4,"40 to 64","<1km","bicycle",0.61,0.0554545454545455,0.35,0.388181818181818
"84719/1001",NA,84719,1066,"45-49 years","male",20,3681,"Work",125.319877624512,125.319877624512,"car",0.666666666666667,28.61,"weekday",1,"40 to 64",">10km","car",28.61,0.666666666666667,4.66666666666667,4.66666666666667
"84719/1001",NA,84719,1066,"45-49 years","male",20,3682,"Work",125.319877624512,125.319877624512,"car",1,28.82,"weekday",2,"40 to 64",">10km","car",28.82,1,7,7
"84720/1000",NA,84720,1067,"70-74 years","female",20,3683,"Work",114.950271606445,114.950271606445,"car",0.0333333333333333,0.4,"weekday",1,"65 plus","<1km","bicycle",0.4,0.0363636363636364,0.233333333333333,0.254545454545455
"84720/1000",NA,84720,1067,"70-74 years","female",20,3684,"Work",114.950271606445,114.950271606445,"car",0.0333333333333333,0.4,"weekday",2,"65 plus","<1km","bicycle",0.4,0.0363636363636364,0.233333333333333,0.254545454545455
"84720/1000",NA,84720,1067,"70-74 years","female",20,3685,"Work",114.950271606445,114.950271606445,"car",0.0333333333333333,0.4,"weekday",3,"65 plus","<1km","bicycle",0.4,0.0363636363636364,0.233333333333333,0.254545454545455
"84720/1000",NA,84720,1067,"70-74 years","female",20,3686,"Work",114.950271606445,114.950271606445,"car",0.0333333333333333,0.4,"weekday",4,"65 plus","<1km","bicycle",0.4,0.0363636363636364,0.233333333333333,0.254545454545455
"84720/1001",NA,84720,1068,"70-74 years","male",20,3687,"Other",105.506164550781,105.506164550781,"car",0.5,23.7,"weekday",1,"65 plus",">10km","car",23.7,0.5,3.5,3.5
"84720/1001",NA,84720,1068,"70-74 years","male",20,3688,"Other",105.506164550781,105.506164550781,"public.transport",0.333333333333333,14.98,"weekday",2,"65 plus",">10km","public.transport",14.98,0.333333333333333,2.33333333333333,2.33333333333333
"84720/1001",NA,84720,1068,"70-74 years","male",20,3689,"Other",105.506164550781,105.506164550781,"public.transport",0.516666666666667,15.14,"weekday",3,"65 plus",">10km","public.transport",15.14,0.516666666666667,3.61666666666667,3.61666666666667
"84720/1001",NA,84720,1068,"70-74 years","male",20,3690,"Other",105.506164550781,105.506164550781,"public.transport",0.5,15.08,"weekday",4,"65 plus",">10km","public.transport",15.08,0.5,3.5,3.5
"84720/1001",NA,84720,1068,"70-74 years","male",20,3691,"Other",105.506164550781,105.506164550781,"public.transport",0.5,24.89,"weekday",5,"65 plus",">10km","public.transport",24.89,0.5,3.5,3.5
"84722/1000",NA,84722,1069,"40-44 years","female",20,3692,"Other",77.7493667602539,77.7493667602539,"walking",0.0666666666666667,0.26,"weekday",1,"40 to 64","<1km","walking",0.26,0.0666666666666667,0.466666666666667,0.466666666666667
"84722/1000",NA,84722,1069,"40-44 years","female",20,3693,"Other",77.7493667602539,77.7493667602539,"public.transport",0.216666666666667,2.73,"weekday",1,"40 to 64","3-5km","public.transport",2.73,0.216666666666667,1.51666666666667,1.51666666666667
"84722/1000",NA,84722,1069,"40-44 years","female",20,3694,"Other",77.7493667602539,77.7493667602539,"walking",0.0833333333333333,0.54,"weekday",1,"40 to 64","<1km","walking",0.54,0.0833333333333333,0.583333333333333,0.583333333333333
"84722/1000",NA,84722,1069,"40-44 years","female",20,3695,"Other",77.7493667602539,77.7493667602539,"walking",0.0833333333333333,0.54,"weekday",2,"40 to 64","<1km","walking",0.54,0.0833333333333333,0.583333333333333,0.583333333333333
"84722/1000",NA,84722,1069,"40-44 years","female",20,3696,"Other",77.7493667602539,77.7493667602539,"public.transport",0.166666666666667,2.74,"weekday",2,"40 to 64","3-5km","public.transport",2.74,0.166666666666667,1.16666666666667,1.16666666666667
"84722/1000",NA,84722,1069,"40-44 years","female",20,3697,"Other",77.7493667602539,77.7493667602539,"walking",0.0666666666666667,0.26,"weekday",2,"40 to 64","<1km","walking",0.26,0.0666666666666667,0.466666666666667,0.466666666666667
"84723/1000",NA,84723,1070,"70-74 years","female",20,3698,"Shopping",94.8731231689453,94.8731231689453,"car",0.166666666666667,3.44,"weekday",1,"65 plus","3-5km","bicycle",3.44,0.312727272727273,1.16666666666667,2.18909090909091
"84723/1000",NA,84723,1070,"70-74 years","female",20,3699,"Shopping",94.8731231689453,94.8731231689453,"car",0.166666666666667,3.47,"weekday",2,"65 plus","3-5km","bicycle",3.47,0.315454545454545,1.16666666666667,2.20818181818182
"84724/1000",NA,84724,1071,"30-34 years","male",20,3700,"Other",145.704574584961,145.704574584961,"car",0.0333333333333333,0.48,"weekday",1,"20 to 39","<1km","bicycle",0.48,0.0436363636363636,0.233333333333333,0.305454545454545
"84724/1000",NA,84724,1071,"30-34 years","male",20,3701,"Other",145.704574584961,145.704574584961,"car",0.0833333333333333,0.98,"weekday",2,"20 to 39","<1km","bicycle",0.98,0.0890909090909091,0.583333333333333,0.623636363636364
"84724/1000",NA,84724,1071,"30-34 years","male",20,3702,"Work",145.704574584961,145.704574584961,"car",0.25,5.9,"weekday",3,"20 to 39","6-10km","car",5.9,0.25,1.75,1.75
"84724/1000",NA,84724,1071,"30-34 years","male",20,3703,"Work",145.704574584961,145.704574584961,"car",0.233333333333333,5.93,"weekday",4,"20 to 39","6-10km","car",5.93,0.233333333333333,1.63333333333333,1.63333333333333
"84724/1001",NA,84724,1072,"30-34 years","female",20,3704,"Work",111.729713439941,111.729713439941,"car",0.75,18.64,"weekday",1,"20 to 39",">10km","car",18.64,0.75,5.25,5.25
"84724/1001",NA,84724,1072,"30-34 years","female",20,3705,"Other",111.729713439941,111.729713439941,"car",0.5,18.92,"weekday",2,"20 to 39",">10km","car",18.92,0.5,3.5,3.5
"84724/1001",NA,84724,1072,"30-34 years","female",20,3706,"Other",111.729713439941,111.729713439941,"car",0.0333333333333333,0.98,"weekday",3,"20 to 39","<1km","bicycle",0.98,0.0890909090909091,0.233333333333333,0.623636363636364
"84724/1001",NA,84724,1072,"30-34 years","female",20,3707,"Other",111.729713439941,111.729713439941,"car",0.0333333333333333,0.67,"weekday",4,"20 to 39","<1km","bicycle",0.67,0.0609090909090909,0.233333333333333,0.426363636363636
"84726/1000",NA,84726,1073,"50-54 years","male",20,3708,"Work",96.621337890625,96.621337890625,"car",0.75,25,"weekday",1,"40 to 64",">10km","car",25,0.75,5.25,5.25
"84726/1000",NA,84726,1073,"50-54 years","male",20,3709,"Work",96.621337890625,96.621337890625,"car",0.5,24.62,"weekday",2,"40 to 64",">10km","car",24.62,0.5,3.5,3.5
"84726/1000",NA,84726,1073,"50-54 years","male",20,3710,"Shopping",96.621337890625,96.621337890625,"walking",0.166666666666667,0.09,"weekday",3,"40 to 64","<1km","walking",0.09,0.166666666666667,1.16666666666667,1.16666666666667
"84726/1000",NA,84726,1073,"50-54 years","male",20,3711,"Shopping",96.621337890625,96.621337890625,"walking",0.166666666666667,0.09,"weekday",4,"40 to 64","<1km","walking",0.09,0.166666666666667,1.16666666666667,1.16666666666667
"84729/1000",NA,84729,1074,"65-69 years","male",20,3712,"Shopping",115.985206604004,115.985206604004,"walking",0.25,1.34,"weekday",1,"65 plus","1-2km","walking",1.34,0.25,1.75,1.75
"84729/1000",NA,84729,1074,"65-69 years","male",20,3713,"Shopping",115.985206604004,115.985206604004,"walking",0.233333333333333,1.34,"weekday",2,"65 plus","1-2km","walking",1.34,0.233333333333333,1.63333333333333,1.63333333333333
"84795/1000",NA,84795,1075,"40-44 years","female",20,3714,"Other",336.650360107422,336.650360107422,"walking",0.0833333333333333,0.59,"weekday",1,"40 to 64","<1km","walking",0.59,0.0833333333333333,0.583333333333333,0.583333333333333
"84795/1000",NA,84795,1075,"40-44 years","female",20,3715,"Other",336.650360107422,336.650360107422,"walking",0.0833333333333333,0.59,"weekday",2,"40 to 64","<1km","walking",0.59,0.0833333333333333,0.583333333333333,0.583333333333333
"84795/1000",NA,84795,1075,"40-44 years","female",20,3716,"Work",336.650360107422,336.650360107422,"car",0.1,1.36,"weekday",3,"40 to 64","1-2km","bicycle",1.36,0.123636363636364,0.7,0.865454545454545
"84795/1000",NA,84795,1075,"40-44 years","female",20,3717,"Work",336.650360107422,336.650360107422,"car",0.0833333333333333,1.57,"weekday",4,"40 to 64","1-2km","bicycle",1.57,0.142727272727273,0.583333333333333,0.999090909090909
"84795/1000",NA,84795,1075,"40-44 years","female",20,3718,"Shopping",336.650360107422,336.650360107422,"car",0.0833333333333333,2.51,"weekday",5,"40 to 64","3-5km","bicycle",2.51,0.228181818181818,0.583333333333333,1.59727272727273
"84795/1000",NA,84795,1075,"40-44 years","female",20,3719,"Shopping",336.650360107422,336.650360107422,"car",0.0833333333333333,2.07,"weekday",6,"40 to 64","3-5km","bicycle",2.07,0.188181818181818,0.583333333333333,1.31727272727273
"84796/1000",NA,84796,1076,"50-54 years","female",20,3720,"Work",193.905059814453,193.905059814453,"car",0.833333333333333,57.76,"weekday",1,"40 to 64",">10km","car",57.76,0.833333333333333,5.83333333333333,5.83333333333333
"84796/1000",NA,84796,1076,"50-54 years","female",20,3721,"Work",193.905059814453,193.905059814453,"car",1.16666666666667,58.57,"weekday",2,"40 to 64",">10km","car",58.57,1.16666666666667,8.16666666666667,8.16666666666667
"84796/1001",NA,84796,1077,"15-19 years","female",20,3722,"Education",194.715454101562,194.715454101562,"walking",0.25,0.45,"weekday",1,"15 to 19","<1km","walking",0.45,0.25,1.75,1.75
"84796/1001",NA,84796,1077,"15-19 years","female",20,3723,"Education",194.715454101562,194.715454101562,"walking",0.166666666666667,0.45,"weekday",2,"15 to 19","<1km","walking",0.45,0.166666666666667,1.16666666666667,1.16666666666667
"84799/1000",NA,84799,1078,"50-54 years","male",20,3724,"Work",235.916015625,235.916015625,"car",0.25,5.15,"weekday",1,"40 to 64","6-10km","car",5.15,0.25,1.75,1.75
"84799/1000",NA,84799,1078,"50-54 years","male",20,3725,"Work",235.916015625,235.916015625,"car",0.516666666666667,26.1,"weekday",2,"40 to 64",">10km","car",26.1,0.516666666666667,3.61666666666667,3.61666666666667
"84799/1000",NA,84799,1078,"50-54 years","male",20,3726,"Work",235.916015625,235.916015625,"car",0.75,56.56,"weekday",3,"40 to 64",">10km","car",56.56,0.75,5.25,5.25
"84799/1000",NA,84799,1078,"50-54 years","male",20,3727,"Work",235.916015625,235.916015625,"car",1,65.42,"weekday",4,"40 to 64",">10km","car",65.42,1,7,7
"84803/1001",NA,84803,1079,"65-69 years","female",20,3728,"Other",158.535507202148,158.535507202148,"car",0.25,3.16,"weekday",1,"65 plus","3-5km","bicycle",3.16,0.287272727272727,1.75,2.01090909090909
"84803/1001",NA,84803,1079,"65-69 years","female",20,3729,"Other",158.535507202148,158.535507202148,"car",0.25,3.1,"weekday",2,"65 plus","3-5km","bicycle",3.1,0.281818181818182,1.75,1.97272727272727
"84803/1001",NA,84803,1079,"65-69 years","female",20,3730,"Leisure",158.535507202148,158.535507202148,"car",2,99.17,"weekday",3,"65 plus",">10km","car",99.17,2,14,14
"84803/1001",NA,84803,1079,"65-69 years","female",20,3731,"Leisure",158.535507202148,158.535507202148,"car",1.5,99.65,"weekday",4,"65 plus",">10km","car",99.65,1.5,10.5,10.5
"84808/1000",NA,84808,1080,"75-79 years","male",20,3732,"Other",146.185394287109,146.185394287109,"car",0.333333333333333,11.57,"weekday",1,"65 plus",">10km","car",11.57,0.333333333333333,2.33333333333333,2.33333333333333
"84808/1000",NA,84808,1080,"75-79 years","male",20,3733,"Other",146.185394287109,146.185394287109,"car",0.35,12.08,"weekday",2,"65 plus",">10km","car",12.08,0.35,2.45,2.45
"84808/1000",NA,84808,1080,"75-79 years","male",20,3734,"Other",146.185394287109,146.185394287109,"car",0.25,11.57,"weekday",3,"65 plus",">10km","car",11.57,0.25,1.75,1.75
"84808/1000",NA,84808,1080,"75-79 years","male",20,3735,"Other",146.185394287109,146.185394287109,"car",0.333333333333333,12.08,"weekday",4,"65 plus",">10km","car",12.08,0.333333333333333,2.33333333333333,2.33333333333333
"84808/1001",NA,84808,1081,"75-79 years","female",20,3736,"Shopping",181.604446411133,181.604446411133,"car",0.0833333333333333,0.64,"weekday",1,"65 plus","<1km","bicycle",0.64,0.0581818181818182,0.583333333333333,0.407272727272727
"84808/1001",NA,84808,1081,"75-79 years","female",20,3737,"Shopping",181.604446411133,181.604446411133,"car",0.5,26.38,"weekday",2,"65 plus",">10km","car",26.38,0.5,3.5,3.5
"84808/1001",NA,84808,1081,"75-79 years","female",20,3738,"Shopping",181.604446411133,181.604446411133,"car",0.5,27.25,"weekday",3,"65 plus",">10km","car",27.25,0.5,3.5,3.5
"84808/1001",NA,84808,1081,"75-79 years","female",20,3739,"Leisure",181.604446411133,181.604446411133,"car",0.05,0.51,"weekday",4,"65 plus","<1km","bicycle",0.51,0.0463636363636364,0.35,0.324545454545455
"84808/1001",NA,84808,1081,"75-79 years","female",20,3740,"Leisure",181.604446411133,181.604446411133,"car",0.0833333333333333,0.96,"weekday",5,"65 plus","<1km","bicycle",0.96,0.0872727272727273,0.583333333333333,0.610909090909091
"84812/1000",NA,84812,1082,"65-69 years","male",20,3741,"Leisure",151.590209960938,151.590209960938,"car",0.166666666666667,5.61,"weekday",1,"65 plus","6-10km","car",5.61,0.166666666666667,1.16666666666667,1.16666666666667
"84812/1000",NA,84812,1082,"65-69 years","male",20,3742,"Shopping",151.590209960938,151.590209960938,"car",0.166666666666667,7.5,"weekday",2,"65 plus","6-10km","car",7.5,0.166666666666667,1.16666666666667,1.16666666666667
"84812/1000",NA,84812,1082,"65-69 years","male",20,3743,"Shopping",151.590209960938,151.590209960938,"car",0.116666666666667,3.21,"weekday",3,"65 plus","3-5km","bicycle",3.21,0.291818181818182,0.816666666666667,2.04272727272727
"84813/1000",NA,84813,1083,"70-74 years","female",20,3744,"Leisure",171.396911621094,171.396911621094,"walking",0.5,1.25,"weekday",1,"65 plus","1-2km","walking",1.25,0.5,3.5,3.5
"84813/1000",NA,84813,1083,"70-74 years","female",20,3745,"Leisure",171.396911621094,171.396911621094,"walking",0.5,1.25,"weekday",2,"65 plus","1-2km","walking",1.25,0.5,3.5,3.5
"84813/1001",NA,84813,1084,"75-79 years","male",20,3746,"Leisure",146.185394287109,146.185394287109,"walking",0.5,1.25,"weekday",1,"65 plus","1-2km","walking",1.25,0.5,3.5,3.5
"84813/1001",NA,84813,1084,"75-79 years","male",20,3747,"Leisure",146.185394287109,146.185394287109,"walking",0.5,1.25,"weekday",2,"65 plus","1-2km","walking",1.25,0.5,3.5,3.5
"84814/1000",NA,84814,1085,"65-69 years","male",20,3748,"Shopping",151.590209960938,151.590209960938,"car",0.166666666666667,3.47,"weekday",1,"65 plus","3-5km","bicycle",3.47,0.315454545454545,1.16666666666667,2.20818181818182
"84814/1000",NA,84814,1085,"65-69 years","male",20,3749,"Shopping",151.590209960938,151.590209960938,"car",0.0833333333333333,3.26,"weekday",2,"65 plus","3-5km","bicycle",3.26,0.296363636363636,0.583333333333333,2.07454545454545
"84820/1000",NA,84820,1087,"45-49 years","female",20,3752,"Work",589.9345703125,589.9345703125,"car",0.5,11.72,"weekday",1,"40 to 64",">10km","car",11.72,0.5,3.5,3.5
"84820/1000",NA,84820,1087,"45-49 years","female",20,3753,"Work",589.9345703125,589.9345703125,"car",0.5,11.63,"weekday",2,"40 to 64",">10km","car",11.63,0.5,3.5,3.5
"84822/1000",NA,84822,1088,"40-44 years","female",20,3754,"Work",575.516906738281,575.516906738281,"car",0.416666666666667,8.79,"weekday",1,"40 to 64","6-10km","car",8.79,0.416666666666667,2.91666666666667,2.91666666666667
"84822/1000",NA,84822,1088,"40-44 years","female",20,3755,"Work",575.516906738281,575.516906738281,"car",0.416666666666667,9.23,"weekday",2,"40 to 64","6-10km","car",9.23,0.416666666666667,2.91666666666667,2.91666666666667
"84822/1001",NA,84822,1089,"45-49 years","male",20,3756,"Other",490.858123779297,490.858123779297,"car",0.166666666666667,2.34,"weekday",1,"40 to 64","3-5km","bicycle",2.34,0.212727272727273,1.16666666666667,1.48909090909091
"84822/1001",NA,84822,1089,"45-49 years","male",20,3757,"Work",490.858123779297,490.858123779297,"car",0.25,4.61,"weekday",2,"40 to 64","3-5km","bicycle",4.61,0.419090909090909,1.75,2.93363636363636
"84822/1001",NA,84822,1089,"45-49 years","male",20,3758,"Other",490.858123779297,490.858123779297,"car",0.25,4.61,"weekday",3,"40 to 64","3-5km","bicycle",4.61,0.419090909090909,1.75,2.93363636363636
"84822/1001",NA,84822,1089,"45-49 years","male",20,3759,"Other",490.858123779297,490.858123779297,"car",0.25,2.33,"weekday",4,"40 to 64","3-5km","bicycle",2.33,0.211818181818182,1.75,1.48272727272727
"84822/1001",NA,84822,1089,"45-49 years","male",20,3760,"Work",490.858123779297,490.858123779297,"car",0.25,2.87,"weekday",5,"40 to 64","3-5km","bicycle",2.87,0.260909090909091,1.75,1.82636363636364
"84822/1001",NA,84822,1089,"45-49 years","male",20,3761,"Work",490.858123779297,490.858123779297,"car",0.25,2.83,"weekday",6,"40 to 64","3-5km","bicycle",2.83,0.257272727272727,1.75,1.80090909090909
"84823/1000",NA,84823,1090,"40-44 years","female",20,3762,"Work",647.70849609375,647.70849609375,"car",0.25,2.77,"weekday",1,"40 to 64","3-5km","bicycle",2.77,0.251818181818182,1.75,1.76272727272727
"84823/1000",NA,84823,1090,"40-44 years","female",20,3763,"Other",647.70849609375,647.70849609375,"car",0.333333333333333,3.08,"weekday",2,"40 to 64","3-5km","bicycle",3.08,0.28,2.33333333333333,1.96
"84823/1000",NA,84823,1090,"40-44 years","female",20,3764,"Other",647.70849609375,647.70849609375,"car",0.166666666666667,3.02,"weekday",3,"40 to 64","3-5km","bicycle",3.02,0.274545454545455,1.16666666666667,1.92181818181818
"84823/1000",NA,84823,1090,"40-44 years","female",20,3765,"Other",647.70849609375,647.70849609375,"car",0.166666666666667,1.6,"weekday",4,"40 to 64","1-2km","bicycle",1.6,0.145454545454545,1.16666666666667,1.01818181818182
